ref_date,geo,assets_and_debts,age,value
1999,"Toronto, Ontario",Private pension assets,0,14221
1999,"Toronto, Ontario",Private pension assets,1,29228
1999,"Toronto, Ontario",Private pension assets,2,46482
1999,"Toronto, Ontario",Private pension assets,3,50926
1999,"Toronto, Ontario",Private pension assets,4,45125
1999,"Toronto, Ontario","Registered Retirement Savings Plans (RRSPs), Registered Retirement Income Funds (RRIFs), Locked-in Retirement Accounts (LIRAs) and other",0,9935
1999,"Toronto, Ontario","Registered Retirement Savings Plans (RRSPs), Registered Retirement Income Funds (RRIFs), Locked-in Retirement Accounts (LIRAs) and other",1,20010
1999,"Toronto, Ontario","Registered Retirement Savings Plans (RRSPs), Registered Retirement Income Funds (RRIFs), Locked-in Retirement Accounts (LIRAs) and other",2,27168
1999,"Toronto, Ontario","Registered Retirement Savings Plans (RRSPs), Registered Retirement Income Funds (RRIFs), Locked-in Retirement Accounts (LIRAs) and other",3,25310
1999,"Toronto, Ontario","Registered Retirement Savings Plans (RRSPs), Registered Retirement Income Funds (RRIFs), Locked-in Retirement Accounts (LIRAs) and other",4,18215
1999,"Toronto, Ontario",Employer-sponsored Registered Pension Plans (EPPs),0,4286
1999,"Toronto, Ontario",Employer-sponsored Registered Pension Plans (EPPs),1,9218
1999,"Toronto, Ontario",Employer-sponsored Registered Pension Plans (EPPs),2,19314
1999,"Toronto, Ontario",Employer-sponsored Registered Pension Plans (EPPs),3,25616
1999,"Toronto, Ontario",Employer-sponsored Registered Pension Plans (EPPs),4,26910
1999,"Toronto, Ontario","Financial assets, non pension",0,10494
1999,"Toronto, Ontario","Financial assets, non pension",1,16851
1999,"Toronto, Ontario","Financial assets, non pension",2,40834
1999,"Toronto, Ontario","Financial assets, non pension",3,18873
1999,"Toronto, Ontario","Financial assets, non pension",4,32879
1999,"Toronto, Ontario",Deposits in financial institutions,0,5328
1999,"Toronto, Ontario",Deposits in financial institutions,1,7243
1999,"Toronto, Ontario",Deposits in financial institutions,2,8245
1999,"Toronto, Ontario",Deposits in financial institutions,3,6192
1999,"Toronto, Ontario",Deposits in financial institutions,4,13346
1999,"Toronto, Ontario","Mutual funds, investment funds  and income trusts",0,1532
1999,"Toronto, Ontario","Mutual funds, investment funds  and income trusts",1,2427
1999,"Toronto, Ontario","Mutual funds, investment funds  and income trusts",2,4204
1999,"Toronto, Ontario","Mutual funds, investment funds  and income trusts",3,5398
1999,"Toronto, Ontario","Mutual funds, investment funds  and income trusts",4,4618
1999,"Toronto, Ontario",Stocks,0,2570
1999,"Toronto, Ontario",Stocks,1,3531
1999,"Toronto, Ontario",Stocks,2,19979
1999,"Toronto, Ontario",Stocks,3,2695
1999,"Toronto, Ontario",Stocks,4,11069
1999,"Toronto, Ontario",Bonds (saving and other),0,NA
1999,"Toronto, Ontario",Bonds (saving and other),1,1340
1999,"Toronto, Ontario",Bonds (saving and other),2,1348
1999,"Toronto, Ontario",Bonds (saving and other),3,2659
1999,"Toronto, Ontario",Bonds (saving and other),4,2851
1999,"Toronto, Ontario",Tax Free Saving Accounts (TFSA),0,NA
1999,"Toronto, Ontario",Tax Free Saving Accounts (TFSA),1,NA
1999,"Toronto, Ontario",Tax Free Saving Accounts (TFSA),2,NA
1999,"Toronto, Ontario",Tax Free Saving Accounts (TFSA),3,NA
1999,"Toronto, Ontario",Tax Free Saving Accounts (TFSA),4,NA
1999,"Toronto, Ontario",Other financial assets,0,837
1999,"Toronto, Ontario",Other financial assets,1,2308
1999,"Toronto, Ontario",Other financial assets,2,7058
1999,"Toronto, Ontario",Other financial assets,3,1928
1999,"Toronto, Ontario",Other financial assets,4,NA
1999,"Toronto, Ontario",Non-financial assets,0,77637
1999,"Toronto, Ontario",Non-financial assets,1,113180
1999,"Toronto, Ontario",Non-financial assets,2,118759
1999,"Toronto, Ontario",Non-financial assets,3,70650
1999,"Toronto, Ontario",Non-financial assets,4,72997
1999,"Toronto, Ontario",Principal residence,0,54768
1999,"Toronto, Ontario",Principal residence,1,80172
1999,"Toronto, Ontario",Principal residence,2,81691
1999,"Toronto, Ontario",Principal residence,3,47963
1999,"Toronto, Ontario",Principal residence,4,57064
1999,"Toronto, Ontario",Other real estate,0,9179
1999,"Toronto, Ontario",Other real estate,1,13859
1999,"Toronto, Ontario",Other real estate,2,16864
1999,"Toronto, Ontario",Other real estate,3,12875
1999,"Toronto, Ontario",Other real estate,4,7509
1999,"Toronto, Ontario",Vehicles,0,5131
1999,"Toronto, Ontario",Vehicles,1,5963
1999,"Toronto, Ontario",Vehicles,2,5226
1999,"Toronto, Ontario",Vehicles,3,3056
1999,"Toronto, Ontario",Vehicles,4,1810
1999,"Toronto, Ontario",Other non-financial assets,0,8560
1999,"Toronto, Ontario",Other non-financial assets,1,13186
1999,"Toronto, Ontario",Other non-financial assets,2,14977
1999,"Toronto, Ontario",Other non-financial assets,3,6757
1999,"Toronto, Ontario",Other non-financial assets,4,6614
1999,"Toronto, Ontario",Equity in business,0,8169
1999,"Toronto, Ontario",Equity in business,1,16101
1999,"Toronto, Ontario",Equity in business,2,16729
1999,"Toronto, Ontario",Equity in business,3,14187
1999,"Toronto, Ontario",Equity in business,4,2562
1999,"Toronto, Ontario",Total debts,0,30861
1999,"Toronto, Ontario",Total debts,1,39820
1999,"Toronto, Ontario",Total debts,2,32407
1999,"Toronto, Ontario",Total debts,3,9971
1999,"Toronto, Ontario",Total debts,4,2818
1999,"Toronto, Ontario",Mortgages,0,24825
1999,"Toronto, Ontario",Mortgages,1,33243
1999,"Toronto, Ontario",Mortgages,2,26034
1999,"Toronto, Ontario",Mortgages,3,7102
1999,"Toronto, Ontario",Mortgages,4,NA
1999,"Toronto, Ontario",Mortgage on principal residence,0,23037
1999,"Toronto, Ontario",Mortgage on principal residence,1,30661
1999,"Toronto, Ontario",Mortgage on principal residence,2,20072
1999,"Toronto, Ontario",Mortgage on principal residence,3,5406
1999,"Toronto, Ontario",Mortgage on principal residence,4,NA
1999,"Toronto, Ontario",Mortgage on other real estate,0,NA
1999,"Toronto, Ontario",Mortgage on other real estate,1,NA
1999,"Toronto, Ontario",Mortgage on other real estate,2,NA
1999,"Toronto, Ontario",Mortgage on other real estate,3,NA
1999,"Toronto, Ontario",Mortgage on other real estate,4,NA
1999,"Toronto, Ontario",Line of credit,0,1199
1999,"Toronto, Ontario",Line of credit,1,1682
1999,"Toronto, Ontario",Line of credit,2,3000
1999,"Toronto, Ontario",Line of credit,3,1135
1999,"Toronto, Ontario",Line of credit,4,NA
1999,"Toronto, Ontario",Credit card and installment debt,0,927
1999,"Toronto, Ontario",Credit card and installment debt,1,1349
1999,"Toronto, Ontario",Credit card and installment debt,2,642
1999,"Toronto, Ontario",Credit card and installment debt,3,398
1999,"Toronto, Ontario",Credit card and installment debt,4,174
1999,"Toronto, Ontario",Student loans,0,2035
1999,"Toronto, Ontario",Student loans,1,NA
1999,"Toronto, Ontario",Student loans,2,841
1999,"Toronto, Ontario",Student loans,3,NA
1999,"Toronto, Ontario",Student loans,4,NA
1999,"Toronto, Ontario",Vehicle loans,0,1488
1999,"Toronto, Ontario",Vehicle loans,1,1414
1999,"Toronto, Ontario",Vehicle loans,2,894
1999,"Toronto, Ontario",Vehicle loans,3,NA
1999,"Toronto, Ontario",Vehicle loans,4,NA
1999,"Toronto, Ontario",Other debt,0,389
1999,"Toronto, Ontario",Other debt,1,1498
1999,"Toronto, Ontario",Other debt,2,995
1999,"Toronto, Ontario",Other debt,3,NA
1999,"Toronto, Ontario",Other debt,4,NA
1999,"Toronto, Ontario",Net Worth (assets less debts),0,79660
1999,"Toronto, Ontario",Net Worth (assets less debts),1,135540
1999,"Toronto, Ontario",Net Worth (assets less debts),2,190397
1999,"Toronto, Ontario",Net Worth (assets less debts),3,144665
1999,"Toronto, Ontario",Net Worth (assets less debts),4,150745
2005,"Toronto, Ontario",Private pension assets,0,17190
2005,"Toronto, Ontario",Private pension assets,1,42285
2005,"Toronto, Ontario",Private pension assets,2,80320
2005,"Toronto, Ontario",Private pension assets,3,84425
2005,"Toronto, Ontario",Private pension assets,4,76071
2005,"Toronto, Ontario","Registered Retirement Savings Plans (RRSPs), Registered Retirement Income Funds (RRIFs), Locked-in Retirement Accounts (LIRAs) and other",0,14848
2005,"Toronto, Ontario","Registered Retirement Savings Plans (RRSPs), Registered Retirement Income Funds (RRIFs), Locked-in Retirement Accounts (LIRAs) and other",1,25439
2005,"Toronto, Ontario","Registered Retirement Savings Plans (RRSPs), Registered Retirement Income Funds (RRIFs), Locked-in Retirement Accounts (LIRAs) and other",2,36958
2005,"Toronto, Ontario","Registered Retirement Savings Plans (RRSPs), Registered Retirement Income Funds (RRIFs), Locked-in Retirement Accounts (LIRAs) and other",3,30151
2005,"Toronto, Ontario","Registered Retirement Savings Plans (RRSPs), Registered Retirement Income Funds (RRIFs), Locked-in Retirement Accounts (LIRAs) and other",4,28477
2005,"Toronto, Ontario",Employer-sponsored Registered Pension Plans (EPPs),0,NA
2005,"Toronto, Ontario",Employer-sponsored Registered Pension Plans (EPPs),1,16846
2005,"Toronto, Ontario",Employer-sponsored Registered Pension Plans (EPPs),2,43362
2005,"Toronto, Ontario",Employer-sponsored Registered Pension Plans (EPPs),3,54274
2005,"Toronto, Ontario",Employer-sponsored Registered Pension Plans (EPPs),4,47594
2005,"Toronto, Ontario","Financial assets, non pension",0,13014
2005,"Toronto, Ontario","Financial assets, non pension",1,14747
2005,"Toronto, Ontario","Financial assets, non pension",2,27146
2005,"Toronto, Ontario","Financial assets, non pension",3,36425
2005,"Toronto, Ontario","Financial assets, non pension",4,38385
2005,"Toronto, Ontario",Deposits in financial institutions,0,3885
2005,"Toronto, Ontario",Deposits in financial institutions,1,4618
2005,"Toronto, Ontario",Deposits in financial institutions,2,10136
2005,"Toronto, Ontario",Deposits in financial institutions,3,16154
2005,"Toronto, Ontario",Deposits in financial institutions,4,21622
2005,"Toronto, Ontario","Mutual funds, investment funds  and income trusts",0,NA
2005,"Toronto, Ontario","Mutual funds, investment funds  and income trusts",1,4935
2005,"Toronto, Ontario","Mutual funds, investment funds  and income trusts",2,6834
2005,"Toronto, Ontario","Mutual funds, investment funds  and income trusts",3,NA
2005,"Toronto, Ontario","Mutual funds, investment funds  and income trusts",4,6076
2005,"Toronto, Ontario",Stocks,0,NA
2005,"Toronto, Ontario",Stocks,1,1262
2005,"Toronto, Ontario",Stocks,2,4814
2005,"Toronto, Ontario",Stocks,3,4429
2005,"Toronto, Ontario",Stocks,4,7541
2005,"Toronto, Ontario",Bonds (saving and other),0,NA
2005,"Toronto, Ontario",Bonds (saving and other),1,NA
2005,"Toronto, Ontario",Bonds (saving and other),2,NA
2005,"Toronto, Ontario",Bonds (saving and other),3,NA
2005,"Toronto, Ontario",Bonds (saving and other),4,NA
2005,"Toronto, Ontario",Tax Free Saving Accounts (TFSA),0,NA
2005,"Toronto, Ontario",Tax Free Saving Accounts (TFSA),1,NA
2005,"Toronto, Ontario",Tax Free Saving Accounts (TFSA),2,NA
2005,"Toronto, Ontario",Tax Free Saving Accounts (TFSA),3,NA
2005,"Toronto, Ontario",Tax Free Saving Accounts (TFSA),4,NA
2005,"Toronto, Ontario",Other financial assets,0,NA
2005,"Toronto, Ontario",Other financial assets,1,3670
2005,"Toronto, Ontario",Other financial assets,2,5064
2005,"Toronto, Ontario",Other financial assets,3,NA
2005,"Toronto, Ontario",Other financial assets,4,NA
2005,"Toronto, Ontario",Non-financial assets,0,62468
2005,"Toronto, Ontario",Non-financial assets,1,212930
2005,"Toronto, Ontario",Non-financial assets,2,185935
2005,"Toronto, Ontario",Non-financial assets,3,128920
2005,"Toronto, Ontario",Non-financial assets,4,115389
2005,"Toronto, Ontario",Principal residence,0,49615
2005,"Toronto, Ontario",Principal residence,1,172656
2005,"Toronto, Ontario",Principal residence,2,144053
2005,"Toronto, Ontario",Principal residence,3,94432
2005,"Toronto, Ontario",Principal residence,4,88915
2005,"Toronto, Ontario",Other real estate,0,NA
2005,"Toronto, Ontario",Other real estate,1,17877
2005,"Toronto, Ontario",Other real estate,2,22302
2005,"Toronto, Ontario",Other real estate,3,19929
2005,"Toronto, Ontario",Other real estate,4,15349
2005,"Toronto, Ontario",Vehicles,0,4628
2005,"Toronto, Ontario",Vehicles,1,7584
2005,"Toronto, Ontario",Vehicles,2,7613
2005,"Toronto, Ontario",Vehicles,3,5374
2005,"Toronto, Ontario",Vehicles,4,2659
2005,"Toronto, Ontario",Other non-financial assets,0,6225
2005,"Toronto, Ontario",Other non-financial assets,1,14813
2005,"Toronto, Ontario",Other non-financial assets,2,11966
2005,"Toronto, Ontario",Other non-financial assets,3,9185
2005,"Toronto, Ontario",Other non-financial assets,4,8467
2005,"Toronto, Ontario",Equity in business,0,NA
2005,"Toronto, Ontario",Equity in business,1,40673
2005,"Toronto, Ontario",Equity in business,2,15164
2005,"Toronto, Ontario",Equity in business,3,36772
2005,"Toronto, Ontario",Equity in business,4,NA
2005,"Toronto, Ontario",Total debts,0,29455
2005,"Toronto, Ontario",Total debts,1,89092
2005,"Toronto, Ontario",Total debts,2,60928
2005,"Toronto, Ontario",Total debts,3,23520
2005,"Toronto, Ontario",Total debts,4,6274
2005,"Toronto, Ontario",Mortgages,0,NA
2005,"Toronto, Ontario",Mortgages,1,79398
2005,"Toronto, Ontario",Mortgages,2,46866
2005,"Toronto, Ontario",Mortgages,3,17107
2005,"Toronto, Ontario",Mortgages,4,NA
2005,"Toronto, Ontario",Mortgage on principal residence,0,NA
2005,"Toronto, Ontario",Mortgage on principal residence,1,71933
2005,"Toronto, Ontario",Mortgage on principal residence,2,41464
2005,"Toronto, Ontario",Mortgage on principal residence,3,13246
2005,"Toronto, Ontario",Mortgage on principal residence,4,NA
2005,"Toronto, Ontario",Mortgage on other real estate,0,NA
2005,"Toronto, Ontario",Mortgage on other real estate,1,NA
2005,"Toronto, Ontario",Mortgage on other real estate,2,NA
2005,"Toronto, Ontario",Mortgage on other real estate,3,NA
2005,"Toronto, Ontario",Mortgage on other real estate,4,NA
2005,"Toronto, Ontario",Line of credit,0,NA
2005,"Toronto, Ontario",Line of credit,1,4105
2005,"Toronto, Ontario",Line of credit,2,7666
2005,"Toronto, Ontario",Line of credit,3,3773
2005,"Toronto, Ontario",Line of credit,4,NA
2005,"Toronto, Ontario",Credit card and installment debt,0,785
2005,"Toronto, Ontario",Credit card and installment debt,1,2060
2005,"Toronto, Ontario",Credit card and installment debt,2,1786
2005,"Toronto, Ontario",Credit card and installment debt,3,1008
2005,"Toronto, Ontario",Credit card and installment debt,4,NA
2005,"Toronto, Ontario",Student loans,0,NA
2005,"Toronto, Ontario",Student loans,1,NA
2005,"Toronto, Ontario",Student loans,2,NA
2005,"Toronto, Ontario",Student loans,3,NA
2005,"Toronto, Ontario",Student loans,4,NA
2005,"Toronto, Ontario",Vehicle loans,0,NA
2005,"Toronto, Ontario",Vehicle loans,1,2048
2005,"Toronto, Ontario",Vehicle loans,2,2754
2005,"Toronto, Ontario",Vehicle loans,3,NA
2005,"Toronto, Ontario",Vehicle loans,4,NA
2005,"Toronto, Ontario",Other debt,0,NA
2005,"Toronto, Ontario",Other debt,1,NA
2005,"Toronto, Ontario",Other debt,2,NA
2005,"Toronto, Ontario",Other debt,3,NA
2005,"Toronto, Ontario",Other debt,4,NA
2005,"Toronto, Ontario",Net Worth (assets less debts),0,64924
2005,"Toronto, Ontario",Net Worth (assets less debts),1,221542
2005,"Toronto, Ontario",Net Worth (assets less debts),2,247637
2005,"Toronto, Ontario",Net Worth (assets less debts),3,263021
2005,"Toronto, Ontario",Net Worth (assets less debts),4,237331
2012,"Toronto, Ontario",Private pension assets,0,19774
2012,"Toronto, Ontario",Private pension assets,1,42429
2012,"Toronto, Ontario",Private pension assets,2,81968
2012,"Toronto, Ontario",Private pension assets,3,121322
2012,"Toronto, Ontario",Private pension assets,4,135287
2012,"Toronto, Ontario","Registered Retirement Savings Plans (RRSPs), Registered Retirement Income Funds (RRIFs), Locked-in Retirement Accounts (LIRAs) and other",0,11331
2012,"Toronto, Ontario","Registered Retirement Savings Plans (RRSPs), Registered Retirement Income Funds (RRIFs), Locked-in Retirement Accounts (LIRAs) and other",1,21246
2012,"Toronto, Ontario","Registered Retirement Savings Plans (RRSPs), Registered Retirement Income Funds (RRIFs), Locked-in Retirement Accounts (LIRAs) and other",2,43375
2012,"Toronto, Ontario","Registered Retirement Savings Plans (RRSPs), Registered Retirement Income Funds (RRIFs), Locked-in Retirement Accounts (LIRAs) and other",3,42724
